fold,stage,inner_fold,seed,epoch,train_ce,val_ce
loso_s1,inner,1.0,20260923,1,1.3862754945401792,1.3868163294262357
loso_s1,inner,1.0,20260923,2,1.3485054660726477,1.392185091972351
loso_s1,inner,1.0,20260923,3,1.3261999355422125,1.3985601729816861
loso_s1,inner,1.0,20260923,4,1.2884444263246324,1.4138158957163494
loso_s1,inner,1.0,20260923,5,1.2477857249754447,1.421048316690657
loso_s1,inner,1.0,20260923,6,1.2080867732012714,1.3575566675927904
loso_s1,inner,1.0,20260923,7,1.185733903337408,1.285158097743988
loso_s1,inner,1.0,20260923,8,1.1657232068203114,1.246126843823327
loso_s1,inner,1.0,20260923,9,1.1533130539788141,1.2884989711973402
loso_s1,inner,1.0,20260923,10,1.1283232790452462,1.2396858599450853
loso_s1,inner,1.0,20260923,11,1.1165004858264216,1.2763770553800795
loso_s1,inner,1.0,20260923,12,1.1037316234023482,1.1713873081737094
loso_s1,inner,1.0,20260923,13,1.0924527060102533,1.2112194961971707
loso_s1,inner,1.0,20260923,14,1.0784400745674416,1.28165183795823
loso_s1,inner,1.0,20260923,15,1.0651679325986791,1.2158130009969075
loso_s1,inner,1.0,20260923,16,1.0715678301122453,1.252928763628006
loso_s1,inner,1.0,20260923,17,1.050274149135307,1.2052383290396795
loso_s1,inner,1.0,20260923,18,1.0400469678419608,1.2038260731432173
loso_s1,inner,1.0,20260923,19,1.0491272961651836,1.2103200521734025
loso_s1,inner,1.0,20260923,20,1.0271688214054815,1.4284228550063238
loso_s1,inner,1.0,20260923,21,1.0116975450957264,1.2304782271385193
loso_s1,inner,1.0,20260923,22,1.0246843132707808,1.2424957487318251
loso_s1,inner,1.0,20260923,23,1.021873852720967,1.2046301000648074
loso_s1,inner,1.0,20260923,24,1.0092051713554948,1.1504855586422815
loso_s1,inner,1.0,20260923,25,0.9988777405685849,1.20504649149047
loso_s1,inner,1.0,20260923,26,1.0083560557277114,1.3521510395738814
loso_s1,inner,1.0,20260923,27,0.9863692963564837,1.2228010098139446
loso_s1,inner,1.0,20260923,28,0.9898841877778372,1.2448967827690973
loso_s1,inner,1.0,20260923,29,0.9906173315313127,1.2759077615208096
loso_s1,inner,1.0,20260923,30,0.9944608763412193,1.1635924610826704
loso_s1,inner,1.0,20260923,31,0.9791350419874545,1.2436834573745728
loso_s1,inner,1.0,20260923,32,0.9816521284756837,1.24992256032096
loso_s1,inner,1.0,20260923,33,0.9652784069379171,1.2268489963478513
loso_s1,inner,1.0,20260923,34,0.9734498770148666,1.3778405156400468
loso_s1,inner,1.0,20260923,35,0.9600633217228783,1.2850244674417708
loso_s1,inner,1.0,20260923,36,0.9712766353730802,1.2312107119295332
loso_s1,inner,1.0,20260923,37,0.9707017496780113,1.2438309225771162
loso_s1,inner,1.0,20260923,38,0.9623007310761346,1.3115296297603183
loso_s1,inner,1.0,20260923,39,0.9419319706934469,1.1850632230440776
loso_s1,inner,1.0,20260923,40,0.9479944672849443,1.2527696225378249
loso_s1,inner,2.0,20260923,1,1.3817205097940233,1.3888169195916917
loso_s1,inner,2.0,20260923,2,1.3352713253762987,1.404307762781779
loso_s1,inner,2.0,20260923,3,1.2959242794248793,1.4388920995924208
loso_s1,inner,2.0,20260923,4,1.2291886122138411,1.4689352247450087
loso_s1,inner,2.0,20260923,5,1.181556346239867,1.5374207099278767
loso_s1,inner,2.0,20260923,6,1.1378533740838368,1.5592158767912123
loso_s1,inner,2.0,20260923,7,1.1052067533687309,1.5822267333666484
loso_s1,inner,2.0,20260923,8,1.0791097106756988,1.6853192382388644
loso_s1,inner,2.0,20260923,9,1.0452665741796847,1.591242512067159
loso_s1,inner,2.0,20260923,10,1.021238606285166,1.5359665287865534
loso_s1,inner,2.0,20260923,11,1.0210427123087424,1.6729971634017096
loso_s1,inner,2.0,20260923,12,0.9891686903105842,1.535718474123213
loso_s1,inner,2.0,20260923,13,0.9848077175793825,1.5215026206440396
loso_s1,inner,2.0,20260923,14,0.9676058634563729,1.6182600127326117
loso_s1,inner,2.0,20260923,15,0.9736135535769992,1.4925901889801025
loso_s1,inner,2.0,20260923,16,0.9517242753947223,1.5544008082813687
loso_s1,inner,2.0,20260923,17,0.949037512143453,1.4859543840090434
loso_s1,inner,2.0,20260923,18,0.9477154557351712,1.6085734566052754
loso_s1,inner,2.0,20260923,19,0.9436780622711888,1.486228108406067
loso_s1,inner,2.0,20260923,20,0.9272578943658758,1.5694008668263753
loso_s1,inner,2.0,20260923,21,0.9231063502806204,1.5432418717278376
loso_s1,inner,2.0,20260923,22,0.9233263642699631,1.5762706928782992
loso_s1,inner,2.0,20260923,23,0.9176266966042695,1.6005743741989136
loso_s1,inner,2.0,20260923,24,0.9248782032065921,1.6483900017208524
loso_s1,inner,2.0,20260923,25,0.9108582359773142,1.6440401607089572
loso_s1,inner,2.0,20260923,26,0.9123183797906946,1.511809938483768
loso_s1,inner,2.0,20260923,27,0.903374069266849,1.510369857152303
loso_s1,inner,2.0,20260923,28,0.898566957977083,1.5905563235282898
loso_s1,inner,2.0,20260923,29,0.8958903584215376,1.5755999353196886
loso_s1,inner,2.0,20260923,30,0.9180991649627686,1.5121507512198553
loso_s1,inner,2.0,20260923,31,0.8900591587578809,1.6617960068914626
loso_s1,inner,2.0,20260923,32,0.8821130615693552,1.5114591519037883
loso_s1,inner,2.0,20260923,33,0.8787066517052827,1.5501221948199801
loso_s1,inner,2.0,20260923,34,0.8902521243801823,1.547539426220788
loso_s1,inner,2.0,20260923,35,0.8690821782306388,1.6436163915528192
loso_s1,inner,2.0,20260923,36,0.8756922019852532,1.5301441219117906
